[Choosing CUDA device...]
NVIDIA A40
[Creating frb kernel...]
[Done creating frb kernel]
CHORD FRB beamformer
Compiling kernel...
Allocating input data...
Setting up input data...
dish = 249
freq = 137
polr = 0
time = 1068
Wvalue = 0.36607796f0 - 0.7806393f0im
Evalue = 2 + 7im
dstime = 26
Copying data from CPU to GPU...
Running kernel...
Copying data back from GPU to CPU...
Checking results...
    I:
        beamp=9 beamq=6 freq=137 dstime=26 I=0.123413086 I₀=39.40625
        beamp=10 beamq=6 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=11 beamq=6 freq=137 dstime=26 I=0.12310791 I₀=39.40625
        beamp=12 beamq=6 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=13 beamq=6 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=14 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=15 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=16 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
        beamp=17 beamq=6 freq=137 dstime=26 I=0.123291016 I₀=39.40625
        beamp=18 beamq=6 freq=137 dstime=26 I=0.12322998 I₀=39.40625
